,Year,date,home_team,away_team,home_score,away_score,home_ranking,away_ranking,rank_dif,goal_dif
344,2007,2007-06-06,Latvia,Denmark,0,2,,9,,-2
345,2007,2007-06-06,Liechtenstein,Spain,0,2,,7,,-2
346,2007,2007-06-06,Lithuania,Italy,0,2,,6,,-2
347,2007,2007-06-06,Thailand,Netherlands,1,3,,10,,-2
348,2007,2007-06-07,United States,Guatemala,1,0,8,,,1
349,2007,2007-06-08,Mexico,Cuba,2,1,9,,,1
350,2007,2007-06-09,United States,Trinidad and Tobago,2,0,8,,,2
351,2007,2007-06-10,Honduras,Mexico,2,1,,9,,1
352,2007,2007-06-12,Kuwait,Egypt,1,1,,9,,0
353,2007,2007-06-12,United States,El Salvador,4,0,8,,,4
354,2007,2007-06-13,Mexico,Panama,1,0,9,,,1
355,2007,2007-06-16,United States,Panama,2,1,8,,,1
356,2007,2007-06-17,Mexico,Costa Rica,1,0,9,,,1
357,2007,2007-06-17,Niger,Nigeria,1,3,,9,,-2
358,2007,2007-06-21,Mexico,Guadeloupe,1,0,9,,,1
359,2007,2007-06-21,United States,Canada,2,1,8,,,1
360,2007,2007-06-23,Colombia,Ecuador,3,1,10,,,2
361,2007,2007-06-24,United States,Mexico,2,1,8,9,-1,1
362,2007,2007-06-26,Uruguay,Peru,0,3,8,,,-3
363,2007,2007-06-27,Brazil,Mexico,0,2,2,9,-7,-2
364,2007,2007-06-27,Ecuador,Chile,2,3,,10,,-1
365,2007,2007-06-28,Argentina,United States,4,1,5,8,-3,3
366,2007,2007-06-28,Paraguay,Colombia,5,0,,10,,5
367,2007,2007-06-30,Bolivia,Uruguay,0,1,,8,,-1
368,2007,2007-07-01,Brazil,Chile,3,0,2,10,-8,3
369,2007,2007-07-01,Mexico,Ecuador,2,1,9,,,1
370,2007,2007-07-02,Argentina,Colombia,4,2,5,10,-5,2
371,2007,2007-07-02,United States,Paraguay,1,3,8,,,-2
372,2007,2007-07-03,Venezuela,Uruguay,0,0,,8,,0
373,2007,2007-07-04,Brazil,Ecuador,1,0,2,,,1
374,2007,2007-07-04,Mexico,Chile,0,0,9,10,-1,0
375,2007,2007-07-05,Argentina,Paraguay,1,0,5,,,1
376,2007,2007-07-05,Colombia,United States,1,0,10,8,2,1
377,2007,2007-07-07,Chile,Brazil,1,6,10,2,8,-5
378,2007,2007-07-07,Venezuela,Uruguay,1,4,,8,,-3
379,2007,2007-07-08,Argentina,Peru,4,0,5,,,4
380,2007,2007-07-08,Mexico,Paraguay,6,0,9,,,6
381,2007,2007-07-10,Uruguay,Brazil,2,2,8,2,6,0
382,2007,2007-07-11,Mexico,Argentina,0,3,9,5,4,-3
383,2007,2007-07-14,Mexico,Uruguay,3,1,9,8,1,2
