Date,Home,Away,Score_Home,Score_Away,xG_Home,xG_Away,Elo_ranking_home,Elo_rating_home,avg_rank_home,avg_rating_home,Elo_ranking_away,Elo_rating_away,avg_rank_away,avg_rating_away,goal_dif,xG_dif,Elo_ranking_dif,Elo_rating_dif,avg_rank_dif,avg_rating_dif
2019,Venezuela,Argentina,0,2,0.7,2.4,20,1829,87,1405,9,1967,5,1982,-2,-1.7,11,-138,82,-577
2019,Colombia,Chile,0,0,0.3,0.8,7,1985,51,1593,21,1807,28,1674,0,-0.5,-14,178,23,-81
2019,Brazil,Paraguay,0,0,1.7,0.4,2,2082,4,1995,33,1738,23,1756,0,1.2999999999999998,-31,344,-19,239
2019,Uruguay,Peru,0,0,1.3,0.1,9,1967,12,1876,17,1866,35,1671,0,1.2,-8,101,-23,205
2019,Brazil,Argentina,2,0,1.3,0.6,2,2082,4,1995,9,1967,5,1982,2,0.7000000000000001,-7,115,-1,13
2019,Chile,Peru,0,3,2.7,2.1,21,1807,28,1674,17,1866,35,1671,-3,0.6000000000000001,4,-59,-7,3
2019,Argentina,Chile,2,1,2.5,0.9,9,1967,5,1982,21,1807,28,1674,1,1.6,-12,160,-23,308
2019,Brazil,Peru,3,1,2.0,1.0,2,2082,4,1995,17,1866,35,1671,2,1.0,-15,216,-31,324
2021,Turkey,Italy,0,3,0.6,1.9,39,1727,42,1609,7,2031,8,1914,-3,-1.2999999999999998,32,-304,34,-305
2021,Wales,Switzerland,1,1,0.4,2.1,20,1836,22,1666,11,1934,27,1682,0,-1.7000000000000002,9,-98,-5,-16
2021,Denmark,Finland,0,1,1.8,0.3,10,1937,20,1796,41,1722,62,1495,-1,1.5,-31,215,-42,301
2021,Belgium,Russia,3,0,1.4,0.3,4,2075,24,1748,32,1761,23,1741,3,1.0999999999999999,-28,314,1,7
2021,England,Croatia,1,0,1.5,0.4,6,2032,4,1979,15,1858,13,1876,1,1.1,-9,174,-9,103
2021,Austria,North Macedonia,3,1,2.0,0.6,37,1729,14,1880,54,1630,76,1526,2,1.4,-17,99,-62,354
2021,Netherlands,Ukraine,3,2,1.5,0.5,12,1929,15,1843,25,1817,34,1731,1,1.0,-13,112,-19,112
2021,Scotland,Czech Republic,0,2,1.9,1.1,36,1731,20,1810,23,1834,13,1858,-2,0.7999999999999998,13,-103,7,-48
