date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2014,Costa Rica,England,draw,4.3,3.94,1.79,0,0,2.51,73.0,73.0,73.0,74.0,82.44,83.5,81.56,81.06,31.0,743.0,13.0,1041.0,-9.439999999999998,-10.5,-8.560000000000002,-7.060000000000002,18.0,-298.0,0
2014,Costa Rica,Greece,draw,2.65,3.07,2.97,1,1,-0.3200000000000003,73.0,73.0,73.0,74.0,75.12,75.12,74.12,75.12,31.0,743.0,12.0,1055.0,-2.1200000000000045,-2.1200000000000045,-1.1200000000000045,-1.1200000000000045,19.0,-312.0,0
2006,Costa Rica,Poland,lose,4.5,3.3,1.66,1,2,2.84,73.0,73.0,73.0,74.0,75.78,77.89,73.39,72.33,21.0,700.0,22.0,695.0,-2.780000000000001,-4.890000000000001,-0.39000000000000057,1.6700000000000017,-1.0,5.0,-1
2018,Costa Rica,Serbia,lose,5.26,3.38,1.85,0,1,3.4099999999999997,73.0,73.0,73.0,74.0,77.67,78.67,77.33,74.33,26.0,831.0,36.0,756.0,-4.670000000000002,-5.670000000000002,-4.329999999999998,-0.3299999999999983,-10.0,75.0,-1
2006,Croatia,Australia,draw,2.23,3.2,2.95,2,2,-0.7200000000000002,78.12,78.5,76.75,74.62,72.17,71.56,71.11,69.28,20.0,701.0,48.0,610.0,5.950000000000003,6.939999999999998,5.640000000000001,5.340000000000003,-28.0,91.0,0
2018,Croatia,Denmark,draw,1.96,3.24,4.78,1,1,-2.8200000000000003,78.12,78.5,76.75,74.62,76.78,75.11,77.06,75.5,17.0,1048.0,12.0,1099.0,1.3400000000000034,3.3900000000000006,-0.3100000000000023,-0.8799999999999955,5.0,-51.0,0
2018,Croatia,England,win,3.91,2.99,2.28,2,1,1.6300000000000003,78.12,78.5,76.75,74.62,82.44,83.5,81.56,81.06,17.0,1048.0,15.0,1047.0,-4.319999999999993,-5.0,-4.810000000000002,-6.439999999999998,2.0,1.0,1
2014,Croatia,Mexico,lose,2.67,3.46,2.64,1,3,0.029999999999999805,78.12,78.5,76.75,74.62,76.94,77.28,76.17,75.0,16.0,971.0,21.0,892.0,1.1800000000000068,1.2199999999999989,0.5799999999999983,-0.37999999999999545,-5.0,79.0,-2
2018,Croatia,Nigeria,win,1.68,3.75,6.03,2,0,-4.3500000000000005,78.12,78.5,76.75,74.62,77.5,78.5,71.5,75.0,17.0,1048.0,51.0,651.0,0.6200000000000045,0.0,5.25,-0.37999999999999545,-34.0,397.0,2
2006,Czech Republic,Ghana,lose,1.61,3.3,5.0,0,2,-3.3899999999999997,76.13,74.8,74.47,74.27,76.0,79.5,74.5,73.5,2.0,796.0,50.0,608.0,0.12999999999999545,-4.700000000000003,-0.030000000000001137,0.769999999999996,-48.0,188.0,-2
2006,Czech Republic,Italy,lose,3.95,3.15,1.95,0,2,2.0,76.13,74.8,74.47,74.27,82.65,82.24,81.65,81.65,2.0,796.0,12.0,741.0,-6.52000000000001,-7.439999999999998,-7.180000000000007,-7.38000000000001,-10.0,55.0,-2
2018,Denmark,Australia,draw,1.93,3.4,4.58,1,1,-2.6500000000000004,76.78,75.11,77.06,75.5,72.17,71.56,71.11,69.28,12.0,1099.0,38.0,763.0,4.609999999999999,3.549999999999997,5.950000000000003,6.219999999999999,-26.0,336.0,0
2018,Denmark,France,draw,5.37,2.74,2.08,0,0,3.29,76.78,75.11,77.06,75.5,83.28,83.28,82.56,81.72,12.0,1099.0,9.0,1183.0,-6.5,-8.170000000000002,-5.5,-6.219999999999999,3.0,-84.0,0
2010,Denmark,Japan,lose,2.22,3.22,3.33,1,3,-1.1099999999999999,76.78,75.11,77.06,75.5,76.0,75.0,77.0,76.0,28.0,827.0,43.0,729.0,0.7800000000000011,0.10999999999999943,0.060000000000002274,-0.5,-15.0,98.0,-2
2006,Ecuador,Costa Rica,win,1.9,3.1,3.6,3,0,-1.7000000000000002,71.88,71.56,70.94,68.94,73.0,73.0,73.0,74.0,37.0,647.0,21.0,700.0,-1.1200000000000045,-1.4399999999999977,-2.0600000000000023,-5.060000000000002,16.0,-53.0,3
2014,Ecuador,France,draw,5.42,4.12,1.62,0,0,3.8,71.88,71.56,70.94,68.94,83.28,83.28,82.56,81.72,23.0,852.0,20.0,893.0,-11.400000000000006,-11.719999999999999,-11.620000000000005,-12.780000000000001,3.0,-41.0,0
2018,Egypt,Uruguay,lose,8.23,4.1,1.51,0,1,6.720000000000001,70.7,71.0,70.6,68.4,78.38,80.69,75.44,77.0,31.0,814.0,21.0,924.0,-7.679999999999993,-9.689999999999998,-4.840000000000003,-8.599999999999994,10.0,-110.0,-1
2010,England,Algeria,draw,1.23,5.52,14.9,0,0,-13.67,82.44,83.5,81.56,81.06,77.0,77.0,78.0,76.0,9.0,1076.0,26.0,784.0,5.439999999999998,6.5,3.5600000000000023,5.060000000000002,-17.0,292.0,0
2018,England,Belgium,lose,2.51,2.84,3.58,0,1,-1.0700000000000003,82.44,83.5,81.56,81.06,80.11,79.89,79.11,78.72,15.0,1047.0,5.0,1325.0,2.3299999999999983,3.6099999999999994,2.450000000000003,2.3400000000000034,10.0,-278.0,-1
2006,England,Ecuador,win,1.49,3.79,7.05,1,0,-5.56,82.44,83.5,81.56,81.06,71.88,71.56,70.94,68.94,9.0,757.0,37.0,647.0,10.560000000000002,11.939999999999998,10.620000000000005,12.120000000000005,-28.0,110.0,1
2014,England,Italy,lose,2.54,2.98,3.21,1,2,-0.6699999999999999,82.44,83.5,81.56,81.06,82.65,82.24,81.65,81.65,13.0,1041.0,7.0,1120.0,-0.21000000000000796,1.2600000000000051,-0.09000000000000341,-0.5900000000000034,6.0,-79.0,-1
2018,England,Panama,win,1.22,6.33,18.11,6,1,-16.89,82.44,83.5,81.56,81.06,68.0,68.0,70.0,68.0,15.0,1047.0,55.0,636.0,14.439999999999998,15.5,11.560000000000002,13.060000000000002,-40.0,411.0,5
2006,England,Paraguay,win,1.61,3.36,5.94,1,0,-4.33,82.44,83.5,81.56,81.06,74.0,75.08,72.85,71.92,9.0,757.0,30.0,672.0,8.439999999999998,8.420000000000002,8.710000000000008,9.14,-21.0,85.0,1
2006,England,Portugal,draw,2.11,2.97,3.7,0,0,-1.5900000000000003,82.44,83.5,81.56,81.06,81.94,82.33,81.44,80.44,9.0,757.0,10.0,753.0,0.5,1.1700000000000017,0.12000000000000455,0.6200000000000045,-1.0,4.0,0
2006,England,Trinidad and Tobago,win,1.13,5.5,15.0,2,0,-13.870000000000001,82.44,83.5,81.56,81.06,61.0,67.0,59.0,57.0,9.0,757.0,50.0,608.0,21.439999999999998,16.5,22.560000000000002,24.060000000000002,-41.0,149.0,2
2010,England,United States,draw,1.5,4.04,6.87,1,1,-5.37,82.44,83.5,81.56,81.06,74.39,74.0,73.67,72.5,9.0,1076.0,14.0,963.0,8.049999999999997,9.5,7.890000000000001,8.560000000000002,-5.0,113.0,0
2018,France,Argentina,win,2.43,3.09,3.37,4,3,-0.94,83.28,83.28,82.56,81.72,82.53,84.74,81.05,79.47,9.0,1183.0,4.0,1348.0,0.75,-1.4599999999999937,1.5100000000000051,2.25,5.0,-165.0,1
2018,France,Australia,win,1.26,7.16,10.92,2,1,-9.66,83.28,83.28,82.56,81.72,72.17,71.56,71.11,69.28,9.0,1183.0,38.0,763.0,11.11,11.719999999999999,11.450000000000003,12.439999999999998,-29.0,420.0,1
2018,France,Belgium,win,2.61,3.12,3.08,1,0,-0.4700000000000002,83.28,83.28,82.56,81.72,80.11,79.89,79.11,78.72,9.0,1183.0,5.0,1325.0,3.1700000000000017,3.3900000000000006,3.450000000000003,3.0,4.0,-142.0,1
2018,France,Croatia,win,2.14,3.08,4.24,4,2,-2.1,83.28,83.28,82.56,81.72,78.12,78.5,76.75,74.62,9.0,1183.0,17.0,1048.0,5.159999999999997,4.780000000000001,5.810000000000002,7.099999999999994,-8.0,135.0,2
2014,France,Germany,lose,2.85,3.12,2.72,0,1,0.1299999999999999,83.28,83.28,82.56,81.72,83.83,82.44,83.11,81.22,20.0,893.0,2.0,1318.0,-0.5499999999999972,0.8400000000000034,-0.5499999999999972,0.5,18.0,-425.0,-1
2014,France,Honduras,win,1.27,5.87,11.85,3,0,-10.58,83.28,83.28,82.56,81.72,68.5,68.0,70.0,67.5,20.0,893.0,42.0,692.0,14.780000000000001,15.280000000000001,12.560000000000002,14.219999999999999,-22.0,201.0,3
2010,France,Mexico,lose,2.09,3.12,3.83,0,2,-1.7400000000000002,83.28,83.28,82.56,81.72,76.94,77.28,76.17,75.0,7.0,1117.0,17.0,947.0,6.340000000000003,6.0,6.390000000000001,6.719999999999999,-10.0,170.0,-2
2014,France,Nigeria,win,1.41,4.61,8.63,2,0,-7.220000000000001,83.28,83.28,82.56,81.72,77.5,78.5,71.5,75.0,20.0,893.0,37.0,701.0,5.780000000000001,4.780000000000001,11.060000000000002,6.719999999999999,-17.0,192.0,2
2018,France,Peru,win,1.61,3.89,6.56,1,0,-4.949999999999999,83.28,83.28,82.56,81.72,71.6,73.1,70.7,69.5,9.0,1183.0,11.0,1128.0,11.680000000000007,10.180000000000007,11.86,12.219999999999999,-2.0,55.0,1
2006,France,South Korea,draw,1.44,3.5,7.0,1,1,-5.5600000000000005,83.28,83.28,82.56,81.72,71.5,71.9,70.2,68.8,5.0,768.0,29.0,680.0,11.780000000000001,11.379999999999995,12.36,12.920000000000002,-24.0,88.0,0
2006,France,Switzerland,draw,1.65,3.25,5.4,0,0,-3.7500000000000004,83.28,83.28,82.56,81.72,76.94,74.88,75.81,76.44,5.0,768.0,35.0,655.0,6.340000000000003,8.400000000000006,6.75,5.280000000000001,-30.0,113.0,0
2014,Germany,Algeria,win,1.31,5.57,10.19,2,1,-8.879999999999999,83.83,82.44,83.11,81.22,77.0,77.0,78.0,76.0,2.0,1318.0,26.0,792.0,6.829999999999998,5.439999999999998,5.109999999999999,5.219999999999999,-24.0,526.0,1
2014,Germany,Argentina,win,2.32,3.28,3.39,1,0,-1.0700000000000003,83.83,82.44,83.11,81.22,82.53,84.74,81.05,79.47,2.0,1318.0,3.0,1251.0,1.2999999999999972,-2.299999999999997,2.0600000000000023,1.75,-1.0,67.0,1
2006,Germany,Argentina,draw,2.53,3.0,2.87,1,1,-0.3400000000000003,83.83,82.44,83.11,81.22,82.53,84.74,81.05,79.47,16.0,707.0,4.0,772.0,1.2999999999999972,-2.299999999999997,2.0600000000000023,1.75,12.0,-65.0,0
2010,Germany,Australia,win,1.5,3.9,7.22,4,0,-5.72,83.83,82.44,83.11,81.22,72.17,71.56,71.11,69.28,6.0,1173.0,21.0,857.0,11.659999999999997,10.879999999999995,12.0,11.939999999999998,-15.0,316.0,4
2006,Germany,Costa Rica,win,1.26,4.94,11.36,4,2,-10.1,83.83,82.44,83.11,81.22,73.0,73.0,73.0,74.0,16.0,707.0,21.0,700.0,10.829999999999998,9.439999999999998,10.11,7.219999999999999,-5.0,7.0,2
2010,Germany,England,win,2.89,3.03,2.61,4,1,0.28000000000000025,83.83,82.44,83.11,81.22,82.44,83.5,81.56,81.06,6.0,1173.0,9.0,1076.0,1.3900000000000006,-1.0600000000000023,1.5499999999999972,0.1599999999999966,-3.0,97.0,3
2014,Germany,Ghana,draw,1.32,5.61,9.14,2,2,-7.82,83.83,82.44,83.11,81.22,76.0,79.5,74.5,73.5,2.0,1318.0,24.0,851.0,7.829999999999998,2.9399999999999977,8.61,7.719999999999999,-22.0,467.0,0
2006,Germany,Italy,lose,2.38,2.88,3.21,0,2,-0.8300000000000001,83.83,82.44,83.11,81.22,82.65,82.24,81.65,81.65,16.0,707.0,12.0,741.0,1.1799999999999926,0.20000000000000284,1.4599999999999937,-0.4300000000000068,4.0,-34.0,-2
